article	aid	url	imageUrl	iid	hashvalueImage	title	text	nReads	nRecs	nClicks	ctr
508992200	118169	https://www.ksta.de/koeln/silvester-2018-koelner-starten-friedlich-ins-neue-jahr-31810508	https://www.ksta.de/image/31811442/2x1/300/150/47af8218cc03f351c52aa49d89c9be5e/uK/massenschlaegerei-meschenich-jasmin.jpg	118803	00183a64fffa60dc	Massen­schlä­gerei in Mesche­nich und Brände in der Neujahrs­nacht	Während die Polizei in einer ersten Bilanz noch von einer ruhigen Kölner Silves­ter­nacht gespro­chen hatte, werden im Laufe des Diens­tages mehr Details zu einem Einsatz im Stadt­teil Mesche­nich bekannt.Dort kam es in der Nacht zu Neujahr zu gewalt­tä­t	48942	82643	279	0.003375966506540179
509005634	118171	https://www.ksta.de/panorama/selbstgebauter-knaller--mann-wird-durch-boeller-schwer-an-der-hand-verletzt-31811448	https://www.ksta.de/image/31811446/2x1/300/150/c816ac031a5a0b3add7d47a3813aec62/rC/knaller-symbolbild-010119.jpg	118805	4060f0701c0c0e06	Mann wird durch Böller schwer an der Hand verletzt	In der Nähe von Celle ist ein 38-jäh­riger Mann am Montag­abend durch einen Knaller schwerst verletzt worden. Gegen 19 Uhr am Silves­ter­abend soll der Böller dem Mann in Winsen/Aller die Hand nahezu wegge­sprengt haben, wie die „Bild“ berichtet.Eine 54-J	650	10	0	0.0
509006281	118172	https://www.ksta.de/wirtschaft/neuanfang-im-job-wie-der-koelner-daniel-opoku-sein-altes-leben-hinter-sich-liess-31808270	https://www.ksta.de/image/31808308/2x1/300/150/85ee043d58cd779d33cca388888e6b57/vZ/daniel-opoku.jpg	118806	3f0f073030333716	Wie der Kölner Daniel Opoku sein altes Leben hinter sich ließ	Daniel Opoku, Outdoor-Klei­dung, schlanke Statur, fester Hände­druck, offenes Lächeln, Laptop im Ruck­sack – genauso stellt man sich einen Star­t-up-Un­ter­nehmer vor, der jedes W-Lan-­fä­hige Café zum Arbeiten nutzt. Tatsäch­lich tauschte Opoku sein Lebe	2109	4	0	0.0
509006327	118173	https://www.ksta.de/wirtschaft/interview-ueber-jobwechsel--wer-auf-dauer-im-beruf-ungluecklich-ist--riskiert-einiges--31808350	https://www.ksta.de/image/31808358/2x1/300/150/806096e3c65a13dcfd59cde588e7eb0a/uc/buerojob.jpg	118807	ffef22020b2064f8	„Wer auf Dauer im Beruf unglück­lich ist, riskiert einiges“	Herr Conen, gibt es so etwas wie ein „Navi“ für den Neuan­fang?Horst Conen: Ja, schon. Wir starten es, indem wir unsere aktu­elle Situa­tion in Frage stellen und uns fragen: „Wo stehe ich jetzt, wo will ich noch hin und wie kann ich das errei­chen?“ Sich 	1055	11	0	0.0
509006329	118174	https://www.ksta.de/panorama/panne-bei-feuerwerk-sydneys-feuerwerks-meister-unterlaeuft-peinlicher-fehler-31811506	https://www.ksta.de/image/31811494/2x1/300/150/cf18c73a2fa30f16a949044c88b9be/Zx/silvester-sidney-ap-neu.jpg	118808	0018fefeff7f0607	Sydneys Zere­mo­ni­en-Meister unter­läuft pein­li­cher Fehler	Austra­liens Metro­pole Sydney hat das neue Jahr wieder mit einem spek­ta­ku­lären Feuer­werk begrüßt - mit einem kleinen Schön­heits­fehler: Die Orga­ni­sa­toren haben sich im Jahr geirrt. Auf einen der Pfeiler der Hafen­brücke ließen sie während des Feu	10669	93	0	0.0
509007066	118175	https://www.ksta.de/politik/us-sanktionen-kim-jong-un-droht-mit-abkehr-vom-annaeherungskurs-31811530	https://www.ksta.de/image/31811554/2x1/300/150/29c50be85cf894763325d201ab241bc6/oS/kim-jong-un-bei-rede-010119.jpg	118809	fc9a1a000027277f	Kim Jong Un droht mit Abkehr vom Annä­he­rungs­kurs	Nord­ko­reas Macht­haber Kim Jong Un droht im Streit um das Atom­waf­fen­pro­gramm seines Landes mit einer Abkehr vom Annä­he­rungs­kurs, falls die USA an ihren Sank­tionen fest­halten. In seiner Neujahrs­an­sprache bekräf­tigte Kim am Dienstag zwar die A	669	3	0	0.0
509011300	118176	https://www.ksta.de/koeln/blaeck-foeoess-in-der-lanxess-arena-ueber-13-000-fans-verabschieden-bassist-hartmut-priess-31811684	https://www.ksta.de/image/31811674/2x1/300/150/5ac80962a6e6ef67f9f5cd84caae34eb/Fh/foess-silvester-decker.jpg	118810	1e1e0e0e3e1e1c00	Über 13.000 Fans verab­schieden Bassist Hartmut Priess	Es wird in die Geschichts­bü­cher kölscher Musik eingehen. Mit ihrem 20. und gleich­zeitig letzten Silves­ter­kon­zert ging für die Bläck Fööss und Tausende ihrer Fans am Montag­abend in der Lanxess Arena eine Ära zu Ende. Was 1999 mit dem Mill­en­ni­um-K	7657	70	0	0.0
509012248	118178	https://www.ksta.de/panorama/terror-in-tokio--mann-rast-mit-auto-in-menschenmenge-31811728	https://www.ksta.de/image/31811720/2x1/300/150/f6707a3c6eaefee7047f2a740b4a5916/ry/tokio-dpa-unfall.jpg	118812	bfbf0f01080c0800	Mann rast mit Auto in Menschen­menge	In der japa­ni­schen Millio­nen­me­tro­pole Tokio hat ein Auto­fahrer in einer belebten Einkaufs­zone Medien­be­richten zufolge mindes­tens neun Fußgänger gerammt und verletzt. Der Fahrer des Wagens sei fest­ge­nommen worden und habe der Polizei selbst ge	665	8	0	0.0
509014255	118179	https://www.ksta.de/panorama/in-lebensgefahr-zwei-maenner-durch-selbstgebaute-boeller-schwer-verletzt-31811762	https://www.ksta.de/image/31811756/2x1/300/150/45fbb1d23a0cdeb7094a40189453966b/Hm/boeller-dpa-neu.jpg	118813	0000ffffc1d08000	Zwei Männer in NRW in Lebens­ge­fahr – Tote in Holland	Mit offenbar selbst­ge­bas­teltem Feuer­werk haben sich zwei Männer in Essen lebens­ge­fähr­liche Verlet­zungen zuge­fügt. Die 31 und 33 Jahre alten Männer hätten auf einem Schulhof mit den Feuer­werks­kör­pern hantiert, teilte die Polizei in der Ruhr­ge­	7696	178984	853	0.004765789120815269
509014608	118180	https://www.ksta.de/region/wohnungbrand-silvesterfeier-mit-betrunkenem-gastgeber-eskaliert-31811780	https://www.ksta.de/image/31811766/2x1/300/150/f05b3775b4a517e191cf8d2e76d5ab0b/YG/feuerwehr-dpa-symbol-010119.jpg	118814	4090d09f9f9e9c90	Silves­ter­feier mit betrun­kenem Gast­geber eska­liert	Eine kleine Silves­ter­feier in Stol­berg bei Aachen hat noch vor Mitter­nacht wegen eines Wohnungs­brandes ein jähes Ende genommen. Am Montag­abend war in einem Mehr­fa­mi­li­en­haus ein Brand gemeldet worden, wie die Polizei am Abend mitteilte.Als die B	4674	167991	657	0.003910923799489258
